city,city_id,country,utc_dt,latitude,longitude,temperature,max_temp,cloudiness,humidity,wind_speed
Port Elizabeth,964420,ZA,1619410476,-33.918,25.5701,59.0,59.0,0,88,2.3
Mossamedes,3347019,AO,1619410575,-15.1961,12.1522,74.82,74.82,0,70,9.24
Laguna,5364271,US,1619410575,38.421,-121.4238,53.87,55.0,1,54,10.36
Hambantota,1244926,LK,1619410323,6.1241,81.1185,84.2,84.2,20,94,3.44
Balkanabat,161616,TM,1619410576,39.5108,54.3671,77.88,77.88,5,27,4.09
County Wicklow,2960935,IE,1619410576,53.0,-6.4167,36.82,39.2,0,93,3.44
Pembroke,6100832,CA,1619410338,45.8168,-77.1162,31.5,32.0,90,47,17.27
Vardø,777019,NO,1619410356,70.3705,31.1107,28.4,28.4,75,74,10.36
Thinadhoo,1337610,MV,1619410333,0.5333,72.9333,82.44,82.44,64,63,3.29
Tuktoyaktuk,6170031,CA,1619410567,69.4541,-133.0374,14.0,14.0,90,79,8.05
Cape Town,3369157,ZA,1619410500,-33.9258,18.4232,60.85,62.01,20,88,6.91
Jamestown,5122534,US,1619410578,42.097,-79.2353,31.75,33.01,1,80,8.05
Hohhot,2036892,CN,1619410295,40.8106,111.6522,55.4,55.4,20,58,15.66
Bambous Virieux,1106677,MU,1619410422,-20.3428,57.7575,77.0,77.0,75,88,14.97
Margate,2643044,GB,1619410314,51.3813,1.3862,42.3,43.0,11,68,3.0
Kirakira,2178753,SB,1619410579,-10.4544,161.9205,84.38,84.38,76,74,0.72
‘Ewa Beach,5855051,US,1619410309,21.3156,-158.0072,77.27,80.01,20,57,9.22
Mar del Plata,3430863,AR,1619410579,-38.0023,-57.5575,57.24,60.01,75,88,3.44
Faya,110690,SA,1619410580,18.3851,42.4509,62.6,62.6,40,63,6.51
Hamilton,4513583,US,1619410512,39.1834,-84.5333,44.19,46.4,1,61,3.6
Tezu,1254709,IN,1619410354,27.9167,96.1667,98.74,98.74,5,11,4.74
Alberton,5883166,CA,1619410581,46.8168,-64.0654,44.6,44.6,100,93,4.61
Saint-Philippe,935215,RE,1619410581,-21.3585,55.7679,74.3,78.8,0,69,18.41
Coahuayana Viejo,4013679,MX,1619410581,18.7333,-103.6833,72.34,72.34,84,87,1.48
Ilulissat,3423146,GL,1619410582,69.2167,-51.1,48.2,48.2,75,43,27.63
Doha,290030,QA,1619410540,25.2867,51.5333,84.74,87.8,50,42,4.61
Barcelos,2742416,PT,1619410582,41.5388,-8.6151,55.71,57.2,0,94,4.61
Jitaúna,3459876,BR,1619410583,-14.0189,-39.8889,68.99,68.99,42,99,0.87
Fenoarivo,1070940,MG,1619410583,-18.933,47.4354,62.6,62.6,75,94,5.75
Lorengau,2092164,PG,1619410583,-2.0226,147.2712,85.35,85.35,92,66,2.28
El Tigre,3641351,VE,1619410584,8.8875,-64.2454,77.29,77.29,100,64,14.7
Numan,2328617,NG,1619410584,9.4667,12.0333,81.01,81.01,80,52,6.2
Torbay,6167817,CA,1619410308,47.6666,-52.7314,38.75,39.99,1,70,5.75
Butaritari,2110227,KI,1619410333,3.0707,172.7902,83.17,83.17,16,73,11.52
Knittelfeld,2773887,AT,1619410585,47.2167,14.8167,39.2,39.2,75,70,4.61
Vila Velha,3445026,BR,1619410585,-20.3297,-40.2925,77.0,77.0,0,83,2.3
Nísia Floresta,3393922,BR,1619410586,-6.0911,-35.2086,76.14,77.0,40,88,3.44
Keti Bandar,1174451,PK,1619410579,24.1447,67.4497,85.3,85.3,0,62,15.08
Clyde River,5924351,CA,1619410586,70.4692,-68.5914,23.0,23.0,90,93,10.36
Mvuma,884814,ZW,1619410587,-19.2792,30.5283,62.6,62.6,89,44,6.31
Worthington,5177396,US,1619410353,40.0931,-83.018,41.77,44.6,1,65,3.6
Kahului,5847411,US,1619409995,20.8947,-156.47,70.45,73.4,40,83,18.41
