,city,city_id,latitude,longitude,temperature,cloudiness,humidity,wind_speed
309,Phang Nga,1151464,8.4509,98.5298,79.09,40,100,3.49
310,Puno,3931276,-15.8333,-70.0333,59.0,75,41,5.75
311,Rieti,3169412,42.4072,12.8592,56.46,0,39,12.66
312,Kristinehamn,2699282,59.3098,14.1081,44.96,40,49,6.91
313,Vidim,2013406,56.4088,103.1106,24.57,61,91,2.93
314,Petropavlovsk-Kamchatskiy,2122104,53.0452,158.6483,33.8,99,100,2.24
315,Mackay,2159220,-21.15,149.2,65.71,90,94,12.66
316,Tezu,1254709,27.9167,96.1667,75.76,1,41,4.97
317,Princeton,4169345,25.5384,-80.4089,82.18,20,69,16.11
318,West Wendover,5710035,40.7391,-114.0733,57.2,1,24,16.11
319,Ust-Maya,2013918,60.4167,134.5333,24.17,100,97,2.86
320,Mbandaka,2312895,0.0487,18.2603,72.18,90,95,6.44
321,Sisimiut,3419842,66.9395,-53.6735,37.67,80,60,5.61
322,Ojinaga,3994469,29.5667,-104.4167,74.66,1,20,11.5
323,Bilyayivka,712488,46.4832,30.2168,46.2,40,93,15.66
324,Pascagoula,4440397,30.3658,-88.5561,68.95,75,64,6.91
325,Westport,4845585,41.1415,-73.3579,51.75,1,28,18.41
326,Malatya Province,304919,38.5,38.0,68.0,0,26,2.3
327,Tazovsky,1489853,67.4667,78.7,33.46,100,98,16.62
328,Beyneu,610298,45.3167,55.2,60.64,87,47,15.17
329,Ishigaki,1861416,24.3448,124.1572,73.35,56,76,20.62
330,Mananjary,1061335,-21.2167,48.3333,72.5,19,88,0.63
331,Bukama,217834,-9.2,25.85,78.96,65,74,1.34
332,Provideniya,4031574,64.3833,-173.3,32.23,99,70,1.59
333,Mel'nikovo,1499007,56.5558,84.085,33.42,14,48,4.27
334,Byron Bay,2172880,-28.65,153.6167,50.0,0,93,5.5
335,Pozo Colorado,3437443,-23.4923,-58.7972,91.02,33,27,11.72
336,East London,1006984,-33.0153,27.9116,66.2,20,88,12.66
337,Alcúdia,2522091,39.8532,3.1214,65.26,20,63,9.22
338,Albanel,5883074,48.8832,-72.4487,42.8,58,42,24.16
339,Mount Gambier,2156643,-37.8333,140.7667,51.8,90,93,6.91
340,Mehamn,778707,71.0357,27.8492,33.8,20,69,9.22
341,Río Gallegos,3838859,-51.6226,-69.2181,50.0,75,87,2.3
342,Lufkin,4708308,31.3382,-94.7291,69.82,90,78,12.66
343,Meïganga,2227402,6.5167,14.3,70.12,83,82,4.0
344,Ailigandí,3714956,9.2333,-78.0167,82.47,94,77,10.42
345,Barra Patuca,3614835,15.8,-84.2833,84.24,12,59,12.91
346,Grindavik,3416888,63.8424,-22.4338,46.4,90,87,20.71
347,Gaza,281133,31.5,34.4667,69.37,12,32,1.01
348,Asău,686090,46.4333,26.4,45.0,90,57,1.5
349,Chernyshevskiy,2025456,63.0128,112.4714,28.65,100,92,9.75
350,Tuatapere,2180815,-46.1333,167.6833,45.0,53,96,5.01
351,Verāval,1253237,20.9,70.3667,81.7,100,73,11.3
352,Antón Lizardo,3532821,19.05,-95.9833,86.0,1,66,8.05
353,Saint-François,2980080,46.4154,3.9054,68.52,0,26,10.36
354,Seymchan,2121373,62.8833,152.4333,17.64,100,92,10.63
355,Pilar,3392126,-9.5972,-35.9567,86.0,40,66,8.05
356,Moree,2156927,-29.4667,149.85,48.2,0,76,3.44
357,Galesburg,4893392,40.9478,-90.3712,54.12,90,54,13.8
358,Atambua,1651103,-9.1061,124.8925,71.91,30,88,5.01
359,Nantucket,4944903,41.2835,-70.0995,47.64,1,49,27.63
360,Lufilufi,4035249,-13.8745,-171.5986,75.2,40,94,3.44
361,Kulhudhuffushi,1337613,6.6221,73.07,83.89,32,71,7.07
362,Sumbawanga,149703,-7.9667,31.6167,73.4,20,49,8.05
363,Port Lincoln,2063036,-34.7333,135.8667,58.17,99,70,5.53
364,Manta,3654410,-0.95,-80.7333,80.6,75,74,6.91
365,Ixtapa,4004293,20.7,-105.2,82.4,1,61,4.61
366,Fuxin,2037346,42.0156,121.6589,51.62,100,89,5.41
367,Salé,2537763,34.0389,-6.8166,68.0,75,73,6.91
368,San Jeronimito,3986600,17.55,-101.3333,84.2,75,54,4.81
369,Bubaque,2374583,11.2833,-15.8333,79.52,52,64,14.92
370,Rundu,3353383,-17.9333,19.7667,76.5,2,27,3.47
371,Puerto Colombia,3671497,10.9878,-74.9547,91.4,20,58,8.05
372,Port Macquarie,2152659,-31.4333,152.9167,49.03,3,87,3.0
373,Dali,1814093,25.7,100.1833,59.18,3,52,6.26
374,Miracema,3457133,-21.4122,-42.1967,80.85,1,52,5.66
375,Rochegda,501847,62.8,43.25,53.94,100,63,10.0
376,Ostrovnoy,556268,68.0531,39.5131,34.05,100,88,10.33
377,Barkly West,1021040,-28.5354,24.5215,77.0,0,22,8.05
378,Klaksvík,2618795,62.2266,-6.589,48.2,75,87,5.75
379,Ketchikan,5554428,55.3422,-131.6461,44.6,1,70,4.61
380,Sechura,3691954,-5.5569,-80.8222,77.16,8,59,8.79
381,Kenmare,2963522,51.8833,-9.5833,57.36,100,65,16.53
382,Lázaro Cárdenas,4026082,17.9583,-102.2,83.46,100,37,3.27
383,Mahibadhoo,1337605,3.7833,72.9667,84.16,38,71,10.74
384,Clearlake,5337908,38.9582,-122.6264,54.1,13,52,2.62
385,Araouane,2460954,18.9048,-3.5265,104.9,15,6,7.34
386,Norsup,2135517,-16.0667,167.3833,80.65,98,82,7.83
387,Dhārchula,1272864,29.85,80.5333,56.37,66,74,7.7
388,Omboué,2396853,-1.5746,9.2618,80.92,93,72,6.55
389,Berlevåg,780687,70.8578,29.0864,37.18,40,60,8.05
390,Boa Vista,3664980,2.8197,-60.6733,89.6,75,48,12.66
391,Cabo San Lucas,3985710,22.8909,-109.9124,74.8,40,37,6.91
392,Hofn,2630299,64.2539,-15.2082,42.8,90,87,3.44
393,Nemuro,2128975,43.3236,145.575,36.19,33,88,7.58
394,Faya,110690,18.3851,42.4509,67.75,75,55,9.22
395,Nago,1856068,26.5881,127.9761,68.0,90,77,14.97
396,Aitape,2101169,-3.1374,142.3475,78.75,100,84,5.1
