,city,city_id,latitude,longitude,temperature,cloudiness,humidity,wind_speed
277,Kundiawa,2093059,-6.0167,144.9667,62.37,100,96,2.13
278,Labuhan,8079926,-6.8844,112.2051,77.14,82,79,5.12
279,Coquimbo,3893629,-29.9533,-71.3436,62.6,90,67,4.61
280,Launceston,2160517,-41.45,147.1667,44.28,77,93,12.66
281,Saint George,5546220,37.1041,-113.5841,68.29,1,20,9.46
282,Cockburn Town,3576994,21.4612,-71.1419,82.4,40,65,9.22
283,Inhambane,1045114,-23.865,35.3833,71.56,4,73,7.34
284,Leningradskiy,2123814,69.3833,178.4167,24.49,100,94,4.97
285,Nahavand,122915,34.1885,48.377,63.9,95,45,3.24
286,Kidal,2455290,18.4411,1.4078,102.11,0,4,12.48
287,Tari,2322495,12.4086,4.4914,102.54,31,19,7.7
288,Bulgan,2032201,48.8125,103.5347,27.21,100,88,4.09
289,Kumul,1529484,42.8,93.45,50.29,99,28,9.75
290,Ponta Delgada,3372783,37.7333,-25.6667,60.8,40,67,28.77
291,Poum,2138555,-20.2333,164.0167,78.01,38,81,6.44
292,Nantucket,4944903,41.2835,-70.0995,48.6,1,46,26.46
293,Ojinaga,3994469,29.5667,-104.4167,76.12,1,12,9.22
294,Westerland,2810284,54.9079,8.3033,46.18,40,76,17.27
295,Fortuna,5563839,40.5982,-124.1573,54.5,20,87,3.44
296,Lebu,3883457,-37.6167,-73.65,58.35,60,71,4.68
297,Ḩasanābād,7052836,36.5465,61.0543,75.2,0,11,5.01
298,Verkhnyaya Inta,1487332,65.9811,60.3094,37.67,97,94,12.8
299,Tegul'det,1489822,57.3064,88.1667,29.07,32,92,4.41
300,Rimouski,6354895,48.4488,-68.524,38.3,100,65,26.46
301,General Pico,3855075,-35.6566,-63.7568,65.89,100,85,2.95
302,Praia da Vitória,3372760,38.7333,-27.0667,61.92,40,67,34.45
303,Hobyo,57000,5.3505,48.5268,84.13,49,67,14.25
304,Omsukchan,2122493,62.5333,155.8,19.94,100,96,1.19
305,Batatais,3470324,-20.8911,-47.585,82.4,0,34,5.75
306,Sibolga,1213855,1.7427,98.7792,76.57,100,87,2.86
307,Verkh-Usugli,2013459,52.7,115.1667,25.84,86,30,4.09
308,Lethem,3379316,3.3803,-59.7968,91.13,81,47,10.85
309,Sakakah,102527,29.9697,40.2064,84.2,20,11,17.27
310,Zhezkazgan,1516589,47.8043,67.7144,44.67,71,29,17.54
311,Manavgat,304854,36.7867,31.4431,64.4,0,59,2.3
312,Avera,4231997,33.194,-82.5271,68.34,1,23,10.36
313,Guerrero Negro,4021858,27.9769,-114.0611,63.28,90,62,16.42
314,Puerto Carreño,3671519,6.189,-67.4859,98.4,21,32,4.41
315,Thinadhoo,1337610,0.5333,72.9333,83.19,52,67,8.21
316,Bandar,1215498,2.05,99.75,74.75,100,94,2.33
317,Bentiu,377472,9.2333,29.8333,89.49,63,39,10.63
318,Padang,1633419,-0.9492,100.3543,75.2,20,94,2.3
319,Kopāganj,1266164,26.0233,83.5658,87.44,18,17,4.09
320,Vikhorevka,2013399,56.1201,101.1636,30.2,84,24,2.24
321,Ellensburg,5793639,46.9965,-120.5479,53.89,1,47,3.44
322,Bilma,2446796,18.6853,12.9164,101.17,80,6,7.85
323,Vila Velha,3445026,-20.3297,-40.2925,81.19,20,65,12.66
324,Seminole,4172445,28.7086,-81.2081,77.13,20,50,8.05
325,Pangnirtung,6096551,66.1451,-65.7125,26.6,75,80,2.3
326,Mzimba,925498,-11.9,33.6,59.81,27,94,5.41
327,Coahuayana Viejo,4013679,18.7333,-103.6833,84.2,40,23,7.18
328,Hannibal,4389418,39.7084,-91.3585,50.31,90,62,9.22
329,Lyuban',625721,52.7985,28.0048,41.0,100,70,8.77
330,Dudinka,1507116,69.4058,86.1778,31.86,90,96,19.91
331,Fiumicino,3176923,41.7675,12.2291,62.35,40,63,5.75
332,Port Augusta,2063056,-32.5,137.7667,51.8,40,87,5.75
333,Nabire,1634614,-3.3667,135.4833,76.37,100,92,3.78
334,Synya,485215,65.3718,58.0387,39.63,94,90,6.6
335,Biak,1637001,-0.9131,122.8766,77.32,95,81,6.15
336,San Patricio,4726521,28.017,-97.5169,78.21,90,78,20.71
337,Poyarkovo,2017705,49.6,128.6833,36.18,62,39,8.05
338,Raudeberg,3146487,61.9875,5.1352,43.0,68,73,15.19
339,Tevriz,1489661,57.509,72.4042,38.61,83,60,6.46
340,Arman',2127060,59.7,150.1667,26.49,98,97,2.98
341,Bonavista,5905393,48.6499,-53.1147,46.4,46,46,17.27
342,San Policarpo,1688696,12.1791,125.5072,76.89,100,86,5.55
343,Port Hardy,6111862,50.6996,-127.4199,49.3,75,71,5.75
344,Srednekolymsk,2121025,67.45,153.6833,8.55,100,94,16.26
345,Dandong,2037886,40.1292,124.3947,54.14,100,77,2.77
346,Lafiagi,2332504,8.8667,5.4167,98.08,42,31,3.98
347,Curup,1645875,-3.4667,102.5333,66.52,91,98,1.03
348,Luena,3347719,-11.7833,19.9167,67.8,74,70,2.3
349,Hella,3230781,67.2,14.4333,37.44,20,60,12.66
350,Waingapu,1622318,-9.6567,120.2641,75.47,5,82,5.3
351,Faya,110690,18.3851,42.4509,65.3,40,55,4.61
352,Aquiraz,3407407,-3.9014,-38.3911,86.59,20,74,12.66
353,Semey,1519422,50.4111,80.2275,36.19,51,52,7.18
354,Hong Kong,1819729,22.2855,114.1577,76.08,6,83,1.01
355,Seoul,1835848,37.5683,126.9778,60.8,0,55,10.36
356,Verkhnyaya Balkariya,474743,43.1279,43.4573,58.55,75,54,4.47
357,Lakota,2285449,5.8528,-5.6883,87.98,100,55,5.01
358,Erenhot,2037485,43.6475,111.9767,55.24,18,41,23.67
359,Vasterhaninge,2664339,59.1167,18.1,45.39,0,27,17.27
360,Udachny,2014624,66.4167,112.4,28.69,100,88,12.84
361,Codrington,2171099,-38.2667,141.9667,53.82,100,83,8.61
362,Piteå,603570,65.3172,21.4794,33.8,90,93,14.97
363,Khorostkiv,706271,49.2111,25.9217,48.0,89,53,9.55
364,Paignton,2640681,50.4357,-3.5679,56.62,0,23,17.27
365,Boende,218680,-0.2167,20.8667,74.5,100,89,1.59
366,Dunedin,2191562,-45.8742,170.5036,52.0,51,88,3.0
367,Ossora,2122389,59.2353,163.0719,29.35,96,93,4.0
368,Bata,2310046,1.8639,9.7658,80.11,99,78,8.86
369,Saint-Augustin,6137462,51.226,-58.6502,37.15,100,64,17.09
370,Baruun-Urt,2032614,46.6806,113.2792,38.53,53,32,16.87
371,Nālūt,2214432,30.3333,10.85,77.85,23,30,26.75
372,Ust'-Karsk,2013942,52.7011,118.8077,29.97,42,34,2.84
373,Ushtobe,1517637,45.2514,77.9838,35.42,0,37,8.75
374,Bathsheba,3374083,13.2167,-59.5167,86.0,20,54,20.71
375,Vryburg,942511,-26.9566,24.7284,64.08,5,28,1.16
376,Severo-Yeniseyskiy,1492566,60.3725,93.0408,18.97,17,96,2.21
377,La Asuncion,3480908,11.0333,-63.8628,86.0,6,62,24.16
378,Rio Grande,3451138,-32.035,-52.0986,77.86,40,61,21.85
379,Ulladulla,2145554,-35.35,150.4667,51.8,16,66,11.5
380,San-Pédro,2282006,4.7485,-6.6363,85.75,80,71,12.66
381,Clocolan,1013266,-28.9137,27.5656,57.83,70,31,5.93
382,Arcos de la Frontera,2521665,36.7508,-5.8106,68.95,0,53,13.8
383,Marrakesh,2542997,31.6315,-8.0083,82.4,20,34,9.22
384,Tiksi,2015306,71.6872,128.8694,-0.63,62,100,5.99
385,Luan,2659977,46.3592,6.9759,58.87,20,34,17.27
386,Meulaboh,1214488,4.1363,96.1285,77.74,100,85,2.66
387,Ous,1495812,60.9058,61.5186,41.63,84,92,5.03
388,Calvinia,3369174,-31.4707,19.776,71.2,0,28,6.4
389,Souris,6151456,49.6172,-100.2612,32.5,75,34,13.8
390,Egvekinot,4031742,66.3167,-179.1667,18.57,100,63,5.7
391,Saint-Leu,6690297,-21.15,55.2833,71.94,90,78,18.41
392,Gondanglegi,1640660,-7.7479,112.0132,73.51,48,84,5.82
393,Motygino,1498314,58.1831,94.7592,27.95,70,93,3.49
394,Asău,686090,46.4333,26.4,42.01,83,65,1.79
395,Aklavik,5882953,68.2191,-135.0107,26.6,20,63,4.61
